dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	HDAC5	-0.02804	0.35423	1	0	-1		HDAC5
BioGRID Protein-Protein Interactions	biogrid	UBD	-0.02804	0.35387	1	0	-1		UBD
BioGRID Protein-Protein Interactions	biogrid	FBXO6	0.00306	1	1	0	1		FBXO6
BioGRID Protein-Protein Interactions	biogrid	TP53	-0.039343	0.2419	1	0	-1		TP53
BioGRID Protein-Protein Interactions	biogrid	MAPK13	-0.025667	0.12193	1	0	-1		MAPK13
BioGRID Protein-Protein Interactions	biogrid	AURKB	-0.025667	0.12207	1	0	-1		AURKB
BioGRID Protein-Protein Interactions	biogrid	SNCA	-0.019672	0.41579	1	0	-1		SNCA
BioGRID Protein-Protein Interactions	biogrid	MAP2K4	-0.025667	0.12248	1	0	-1		MAP2K4
BioGRID Protein-Protein Interactions	biogrid	MAPK1	-0.013676	0.74887	1	0	-1		MAPK1
BioGRID Protein-Protein Interactions	biogrid	SIAH2	0.016736	0.58133	1	0	1		SIAH2
BioGRID Protein-Protein Interactions	biogrid	KCNMA1	-0.0065572	1	1	0	-1		KCNMA1
BioGRID Protein-Protein Interactions	biogrid	AHSA1	-0.0065572	1	1	0	-1		AHSA1
